Date,Rate
30-01-23,8.75
23-11-22,8.75
29-09-22,8.25
27-07-22,7.5
30-05-22,7.5
29-03-22,7
26-01-22,7
29-11-21,7
28-09-21,7
28-07-21,7
26-05-21,7
29-03-21,7
27-01-21,7
26-11-20,7
29-09-20,7
29-07-20,7
25-06-20,7
27-05-20,7
27-05-20,7
29-04-20,7
23-03-20,7.25
27-01-20,8.25
25-11-19,8.5
23-09-19,9
24-07-19,9
27-05-19,9
27-05-19,9
27-03-19,9
28-01-19,9
27-11-18,9
25-09-18,9
30-07-18,9
28-05-18,9.5
19-03-18,9.5
22-01-18,10
23-11-17,10
18-09-17,10
17-07-17,10
29-05-17,10
27-03-17,10
30-01-17,10
28-11-16,10
20-09-16,10
25-07-16,10.5
23-05-16,10.5
21-03-16,11.5
20-01-16,11.5
17-11-15,11.5
22-09-15,11.5
05-08-15,11.5
07-07-15,11.5
09-06-15,10
06-05-15,8.5
26-02-15,8.5
14-01-15,8.5
04-11-14,8.5
03-09-14,8.5
08-07-14,8.5
30-04-14,8.5
04-03-14,8.5
14-01-14,8.5
05-11-13,8.5
03-09-13,8.5
09-07-13,8.5
07-05-13,8.5
12-03-13,9.5
10-01-13,9.5
07-11-12,11
05-09-12,13
05-07-12,16.5
05-06-12,18
03-05-12,18
04-04-12,18
06-03-12,18
01-02-12,18
11-01-12,18
01-12-11,18
01-11-11,16.5
05-10-11,11
14-09-11,7
27-07-11,6.25
31-05-11,6.25
22-03-11,6
27-01-11,5.75
25-11-10,6
23-09-10,6
02-08-10,6
28-07-10,6
20-05-10,6.75
23-03-10,6.75
26-01-10,7
24-11-09,7
23-09-09,7.75
22-07-09,7.75
21-05-09,8
20-03-09,8.25
30-01-09,8.5
01-12-08,8.5
29-10-08,9
01-10-08,9
29-09-08,9
06-08-08,9
