Department,LPO NO,Check,x,NAME OF THE SUPPLIER, AMOUNT ,Date,TENDER NO.
Airticket,10159,10159,TRUE,African Touch Safaris Ltd.," 25,890.00 ",29-Jul-2021,RBA/EP/AIRTICKETS/613/338/2021
Airticket,10160,10160,TRUE,Kenya Airways ," 19,710.00 ",16-Jul-2021,RBA/EP/AIRTICKETS/613/337/2021
Airticket,10161,10161,TRUE,Kenya Airways ," 53,680.00 ",16-Jul-2021,RBA/EP/AIRTICKETS/613/331/2021
Airticket,10162,10162,TRUE,Kenya Airways ," 41,150.00 ",10-Aug-2021,RBA/EP/AIRTICKETS/613/336/2021
Airticket,10163,10163,TRUE,Fly High Agency Ltd," 53,735.00 ",31-Aug-2021,RBA/EP/AIRTICKETS/613/335B/2021
Airticket,10164,10164,TRUE,Cedars Travel Ltd," 273,248.00 ",13-Sep-2021,RBA/EP/AIRTICKETS/613/335/2021
Airticket,10165,10165,TRUE,Attic Travels Ltd," 15,800.00 ",13-Sep-2021,RBA/EP/AIRTICKETS/613/334/2021
Airticket,10166,10166,TRUE,Splash World Ltd," 415,000.00 ",13-Sep-2021,RBA/EP/AIRTICKETS/613/333/2021
Airticket,10167,10167,TRUE,Magical Holidays Ltd," 191,300.00 ",20-Sep-2021,RBA/EP/AIRTICKETS/613/332/2021
Airticket,10168,10168,TRUE,Quattro Travels LTD," 135,760.00 ",23-Sep-2021,RBA/EP/AIRTICKETS/613/330B/2021
Airticket,10169,10169,TRUE,Rosma Travels Ltd," 464,340.00 ",23-Sep-2021,RBA/EP/AIRTICKETS/613/331/2021
Airticket,10170,10170,TRUE,Entrada Tours & Travel Ltd," 23,600.00 ",23-Sep-2021,RBA/EP/AIRTICKETS/613/330/2021
Airticket,10171,10171,TRUE,Fly Beyond Africa Ltd," 46,800.00 ",23-Sep-2021,RBA/EP/AIRTICKETS/613/329/2021
Airticket,10172,10172,TRUE,Kenya Airways ," 61,505.00 ",25-Sep-2021,RBA/EP/AIRTICKETS/613/328/2021
Airticket,10173,10173,TRUE,Kenya Airways ," 52,420.00 ",28-Sep-2021,RBA/EP/AIRTICKETS/613/327/2021
Airticket,10174,10174,TRUE,African Touch Safaris Ltd.," 14,100.00 ",25-Sep-2021,RBA/EP/AIRTICKETS/613/326/2021
Airticket,10175,10175,TRUE,Kenya Airways ," 29,180.00 ",23-Sep-2021,RBA/EP/AIRTICKETS/613/325/2021
Airticket,10176,10176,TRUE,Tusmo Travels Ltd," 52,600.00 ",23-Sep-2021,RBA/EP/AIRTICKETS/613/324/2021
Airticket,10177,10177,TRUE,Longrock Tours Travel," 12,000.00 ",1-Oct-2021,RBA/EP/AIRTICKETS/613/323/2021
,Missing,10178,FALSE,,,0-Jan-1900,
Airticket,10179,10179,TRUE,Tondwe Africa Group Ltd.," 19,075.00 ",4-Oct-2021,RBA/EP/AIRTICKETS/613/322/2021
Airticket,10180,10180,TRUE,African Touch Safaris Ltd.," 48,000.00 ",8-Oct-2021,RBA/EP/AIRTICKETS/613/321/2021
Airticket,10181,10181,TRUE,African Touch Safaris Ltd.," 63,655.00 ",26-Oct-2021,RBA/EP/AIRTICKETS/613/320/2021
Airticket,10182,10182,TRUE,African Touch Safaris Ltd.," 25,810.00 ",8-Oct-2021,RBA/EP/AIRTICKETS/613/319/2021
Airticket,10183,10183,TRUE,Kenya Airways ," 42,915.00 ",26-Oct-2021,RBA/EP/AIRTICKETS/613/318/2021
